2025-05-19 09:40:16.477 [main] INFO  c.h.t.TransactionServiceApplication - Starting TransactionServiceApplication using Java 21.0.6 with PID 26490 (/Users/mac/Engineering/GitHub/digital-bank-hub/business_system/core/transactions/transaction_service/build/classes/java/main started by mac in /Users/mac/Engineering/GitHub/digital-bank-hub/business_system/core/transactions/transaction_service)
2025-05-19 09:40:16.478 [main] DEBUG c.h.t.TransactionServiceApplication - Running with Spring Boot v3.4.5, Spring v6.2.6
2025-05-19 09:40:16.478 [main] INFO  c.h.t.TransactionServiceApplication - No active profile set, falling back to 1 default profile: "default"
2025-05-19 09:40:16.920 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8002 (http)
2025-05-19 09:40:16.927 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8002"]
2025-05-19 09:40:16.928 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-05-19 09:40:16.928 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.40]
2025-05-19 09:40:16.948 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-05-19 09:40:16.948 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 450 ms
2025-05-19 09:40:17.155 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8002"]
2025-05-19 09:40:17.163 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8002 (http) with context path '/'
2025-05-19 09:40:17.168 [main] INFO  c.h.t.TransactionServiceApplication - Started TransactionServiceApplication in 0.958 seconds (process running for 6.5)
