TID: [2026-04-17 09:54:47,125]  INFO {org.wso2.config.mapper.ConfigParser} - Initializing configurations with deployment configurations {org.wso2.config.mapper.ConfigParser}
TID: [] [] [2026-04-17 09:54:50,828]  INFO {org.wso2.carbon.core.internal.CarbonCoreActivator} - Starting WSO2 Carbon...
TID: [] [] [2026-04-17 09:54:50,828]  INFO {org.wso2.carbon.core.internal.CarbonCoreActivator} - Operating System : Mac OS X 15.6, aarch64
TID: [] [] [2026-04-17 09:54:50,828]  INFO {org.wso2.carbon.core.internal.CarbonCoreActivator} - Java Home        : /Users/mac/.sdkman/candidates/java/21.0.6-tem
TID: [] [] [2026-04-17 09:54:50,828]  INFO {org.wso2.carbon.core.internal.CarbonCoreActivator} - Java Version     : 21.0.6
TID: [] [] [2026-04-17 09:54:50,828]  INFO {org.wso2.carbon.core.internal.CarbonCoreActivator} - Java VM          : OpenJDK 64-Bit Server VM 21.0.6+7-LTS,Eclipse Adoptium
TID: [] [] [2026-04-17 09:54:50,828]  INFO {org.wso2.carbon.core.internal.CarbonCoreActivator} - Carbon Home      : /Users/mac/Engineering/GitHub/digital-bank-hub/infrastructure/gateway/wso2am-4.6.0
TID: [] [] [2026-04-17 09:54:50,828]  INFO {org.wso2.carbon.core.internal.CarbonCoreActivator} - Java Temp Dir    : /Users/mac/Engineering/GitHub/digital-bank-hub/infrastructure/gateway/wso2am-4.6.0/tmp
TID: [] [] [2026-04-17 09:54:50,828]  INFO {org.wso2.carbon.core.internal.CarbonCoreActivator} - User             : mac, en-VN, Asia/Ho_Chi_Minh
TID: [] [] [2026-04-17 09:54:51,019]  INFO {org.wso2.carbon.crypto.provider.internal.DefaultCryptoProviderComponent} - 'CryptoService.Secret' property has not been set. 'org.wso2.carbon.crypto.provider.SymmetricKeyInternalCryptoProvider' won't be registered as an internal crypto provider. Please set the secret if the provider needs to be registered.
TID: [] [] [2026-04-17 09:54:51,179]  INFO {org.wso2.carbon.event.output.adapter.kafka.internal.ds.KafkaEventAdapterServiceDS} - Successfully deployed the Kafka output event adaptor service
TID: [] [] [2026-04-17 09:54:52,520]  INFO {org.wso2.carbon.apimgt.eventing.hub.internal.ServiceComponent} - Eventing Hub ServiceComponent is activated
TID: [] [] [2026-04-17 09:54:52,855]  WARN {org.apache.tomcat.util.digester.Digester} - Match [Server/Service/Engine/Host/Valve] failed to set property [maxDays] to []
TID: [] [] [2026-04-17 09:54:53,268]  INFO {org.wso2.carbon.consent.mgt.core.internal.ConsentManagerComponent} - ConsentManagerComponent is activated.
TID: [] [] [2026-04-17 09:54:53,329]  INFO {org.wso2.carbon.databridge.receiver.binary.internal.BinaryDataReceiverServiceComponent} - Binary Data Receiver server activated
TID: [] [] [2026-04-17 09:54:53,334]  INFO {org.wso2.carbon.databridge.core.internal.DataBridgeDS} - Successfully deployed Agent Server 
TID: [] [] [2026-04-17 09:54:53,512]  INFO {org.wso2.carbon.registry.core.jdbc.EmbeddedRegistryService} - Configured Registry in 48ms
TID: [] [] [2026-04-17 09:54:53,540]  INFO {org.wso2.carbon.registry.core.jdbc.EmbeddedRegistryService} - Connected to mount at configregistry in 2ms
TID: [] [] [2026-04-17 09:54:53,540]  INFO {org.wso2.carbon.registry.core.jdbc.EmbeddedRegistryService} - Connected to mount at govregistry in 2ms
TID: [] [] [2026-04-17 09:54:53,563]  INFO {org.wso2.carbon.registry.core.jdbc.EmbeddedRegistryService} - Connected to mount at configregistry in 0ms
